Date	Class	Instructor	Students_Present	Duration_Min	Notes
2026-12-03	Adult Kendo	Tom Iverson	14	90	Regular class
2026-12-05	Adult Kendo	Tom Iverson	12	90	Regular class
2026-12-07	Open Practice	Raj Patel	8	120	Saturday practice
2026-12-10	Adult Kendo	Tom Iverson	15	90	Regular class
2026-12-12	Adult Kendo	Tom Iverson	13	90	Regular class
2026-12-14	Guest Seminar	Sensei Yamada	22	180	Visiting instructor
2026-12-17	Adult Kendo	Tom Iverson	16	90	Post-seminar enthusiasm
2026-12-19	Adult Kendo	Tom Iverson	14	90	Regular class
2026-12-21	Open Practice	Raj Patel	9	120	Saturday practice
2026-12-24	Adult Kendo	Tom Iverson	15	90	Tournament prep focus
2026-12-26	Adult Kendo	Tom Iverson	16	90	Tournament prep focus
2026-12-28	Open Practice	Raj Patel	7	120	Raj checked equipment after
2027-01-01	Adult Kendo	Tom Iverson	14	90	January session start
2027-01-03	Adult Kendo	Tom Iverson	15	90	Tournament drills
